icd,term,out_cat,cat_resp,certlevel,
J10.1," Influenza with other respiratory manifestations, virus not identified",,,,
J15.1, Pneumonia due to Pseudomonas,,,,
J18.0," Bronchopneumonia, unspecified organism",,,,
J18.1," Lobar pneumonia, unspecified organism",,,,
J18.9," Pneumonia, unspecified organism",,,,
J22, Unspecified acute lower respiratory infection,,,,
J47, Bronchiectasis,,,,
J96.0, Acute respiratory failure,,,,
J96.9," Respiratory failure, unspecified",,,,
R04.2, Hemoptysis,,,,
R06.0, Dyspnea (shortness of breath),,,,
R07.3, Other chest pain,,,,
R07.4," Chest pain, unspecified",,,,
,,,,,
