icd,term,out_cat,cat_resp,certlevel
B44.1, Chronic pulmonary aspergillosis,,,
B96.3, Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,,,
B96.5, Pseudomonas (aeruginosa) as the cause of diseases classified elsewhere,,,
B96.8, Other specified bacterial agents as the cause of diseases classified elsewhere,,,
J10.1," Influenza with other respiratory manifestations, virus not identified",,,
J15.1, Pneumonia due to Pseudomonas,,,
J18.0," Bronchopneumonia, unspecified organism",,,
J18.1," Lobar pneumonia, unspecified organism",,,
J18.9," Pneumonia, unspecified organism",,,
J22, Unspecified acute lower respiratory infection,,,
J43.9," Emphysema, unspecified",,,
J44.0, Chronic obstructive pulmonary disease with acute lower respiratory infection,,,
J44.1," Chronic obstructive pulmonary disease with acute exacerbation, unspecified",,,
J44.9," Chronic obstructive pulmonary disease, unspecified",,,
J45.9," Asthma, unspecified",,,
J47, Bronchiectasis,,,
J84.1, Other interstitial pulmonary diseases with fibrosis,,,
J96.0, Acute respiratory failure,,,
J96.9," Respiratory failure, unspecified",,,
J98.1," Chronic bronchitis, not specified as acute or chronic",,,
R04.2, Hemoptysis,,,
R06.0, Dyspnea (shortness of breath),,,
R07.3, Other chest pain,,,
R07.4," Chest pain, unspecified",,,
,,,,
,,,,
,,,,
