icd,term,out_cat,cat_resp,certlevel
J41,simple and mucopurulent chronic bronchitis,dx_inc,chronic bronchitis,
J41.0,simple chronic bronchitis,dx_inc,chronic bronchitis,
J41.1,mucopurulent chronic bronchitis,dx_inc,chronic bronchitis,
J41.8,mixed simple and mucopurulent chronic bronchitis,dx_inc,chronic bronchitis,
J42,unspecified chronic bronchitis,dx_inc,chronic bronchitis,
J43,emphysema,dx_inc,emphysema,
J43.0,macleod syndrome,dx_inc,emphysema,
J43.1,panlobular emphysema,dx_inc,emphysema,
J43.2,centrilobular emphysema,dx_inc,emphysema,
J43.8,other emphysema,dx_inc,emphysema,
J43.9,"emphysema, unspecified",dx_inc,emphysema,
J44,other chronic obstructive pulmonary disease,dx_inc,,
J44.0,chronic obstructive pulmonary disease with acute lower respiratory infection,dx_inc,,
J44.1,"chronic obstructive pulmonary disease with acute exacerbation, unspecified",dx_inc,,
J44.8,other specified chronic obstructive pulmonary disease + obliterating fibrous bronchiolitis,dx_inc,,
J44.9,"chronic obstructive pulmonary disease, unspecified",dx_inc,,
