icd,term,out_cat,cat_resp,certlevel,source,include,note
A16.2,tuberculous fibrosis of lung,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
B20.8,hiv disease resulting in other infectious and parasitic diseases,dx_inc,Pulmonary fibrosis,1,icd_original,?,include autoimmune diseases?
B22.1,hiv disease resulting in lymphoid interstitial pneumonitis,dx_inc,,0,icd_original,yes,
B44,aspergillosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
B44.0,invasive pulmonary aspergillosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
B44.1,other pulmonary aspergillosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
B44.2,tonsillar aspergillosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
B44.7,disseminated aspergillosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
B44.8,other forms of aspergillosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
B44.9,"aspergillosis, unspecified",dx_inc,,1,icd_original,?,include autoimmune diseases?
C96.6,unifocal langerhans-cell histiocytosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
D86,sarcoidosis,dx_inc,,1,icd_original,?,include autoimmune diseases?
D86.0,sarcoidosis of lung,dx_inc,,1,icd_original,?,include autoimmune diseases?
D86.2,sarcoidosis of lung with sarcodoisis of lymph nodes,dx_inc,,1,icd_original,?,include autoimmune diseases?
D86.8,sarcoidosis of other and combined sites,dx_inc,,1,icd_original,?,include autoimmune diseases?
D86.9,"sarcoidosis, unspecified",dx_inc,,1,icd_original,?,include autoimmune diseases?
E83.1,disorders of iron metabolism; haemochromatosis,dx_inc,Pulmonary fibrosis,1,icd_original,?,include autoimmune diseases?
E84.0,cystic fibrosis with pulmonary manifestations,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J17.8,pneumonia in other diseases classified elsewhere,dx_inc,Pulmonary fibrosis,1,icd_original,?,incude pneumonia?
J44.8,other specified chronic obstructive pulmonary disease + obliterating fibrous bronchiolitis,dx_inc,Pulmonary fibrosis,1,icd_original,?,COPD?
J60,coalworker pneumoconiosis,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J61,pneumoconiosis due to asbestos and other mineral fibres,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J62,pneumoconiosis due to dust containing silica,dx_inc,,0,icd_original,yes,
J62.0,pneumoconiosis due to talc dust,dx_inc,,0,icd_original,yes,
J62.8,pneumoconiosis due to other dust containing silica,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
J63,pneumoconiosis due to other inorganic dusts,dx_inc,,0,icd_original,yes,
J63.0,aluminosis (of lung),dx_inc,,0,icd_original,yes,
J63.1,bauxite fibrosis of lung,dx_inc,Pulmonary fibrosis,0,icd_original,yes,
