icd,term,out_cat,cat_resp,certlevel
J09,influenza due to identified zoonotic or pandemic influenza virus,dx_inc,,
J10,influenza due to identified seasonal influenza virus,dx_inc,,
J10.0,"influenza with pneumonia, seasonal influenza virus identified",dx_inc,,
J10.1,"influenza with other respiratory manifestations, seasonal influenza virus identified",dx_inc,,
J10.8,"influenza with other manifestations, seasonal influenza virus identified",dx_inc,,
J11,"influenza, virus not identified",dx_inc,,
J11.0,"influenza with pneumonia, virus not identified",dx_inc,,
J11.1,"influenza with other respiratory manifestations, virus not identified",dx_inc,,
J11.8,"influenza with other manifestations, virus not identified",dx_inc,,
J20,acute bronchitis,dx_inc,,
J20.0,acute bronchitis due to mycoplasma pneumoniae,dx_inc,,
J20.1,acute bronchitis due to haemophilus influenzae,dx_inc,,
J20.2,acute bronchitis due to streptococcus,dx_inc,,
J20.3,acute bronchitis due to coxsackievirus,dx_inc,,
J20.4,acute bronchitis due to parainfluenza virus,dx_inc,,
J20.5,acute bronchitis due to respiratory syncytial virus,dx_inc,,
J20.6,acute bronchitis due to rhinovirus,dx_inc,,
J20.7,acute bronchitis due to echovirus,dx_inc,,
J20.8,acute bronchitis due to other specified organisms,dx_inc,,
J20.9,"acute bronchitis, unspecified",dx_inc,,
J21,acute bronchiolitis,dx_inc,,
J21.0,acute bronchiolitis due to respiratory syncytial virus,dx_inc,,
J21.1,acute bronchiolitis due to human metapneumovirus,dx_inc,,
J21.8,acute bronchiolitis due to other specified organisms,dx_inc,,
J21.9,"acute bronchiolitis, unspecified",dx_inc,,
J22,unspecified acute lower respiratory infection,dx_inc,,
J40,"bronchitis, not specified as acute or chronic",dx_inc,,
J44.0,chronic obstructive pulmonary disease with acute lower respiratory infection,dx_inc,,
