"prodcodeid","termfromemis","out_cat","cat_resp","certlevel"
"431541000033114","deltacortril 2.5mg gastro-resistant tablets (phoenix labs ltd)",NA,NA,NA
"431641000033110","deltacortril 5mg gastro-resistant tablets (phoenix labs ltd)",NA,NA,NA
"1114241000033116","prednisolone 2.5mg gastro-resistant tablets",NA,NA,NA
"1114341000033114","prednisolone 5mg gastro-resistant tablets",NA,NA,NA
"1127341000033111","prednisolone 5mg soluble tablets",NA,NA,NA
"1130741000033110","prednisolone 25mg tablets",NA,NA,NA
"1131741000033117","prednisolone 1mg tablets",NA,NA,NA
"1131841000033110","prednisolone 2.5mg tablets",NA,NA,NA
"1131941000033119","prednisolone 5mg tablets",NA,NA,NA
"5990141000033115","prednisone 1mg modified-release tablets",NA,NA,NA
"5990241000033110","prednisone 2mg modified-release tablets",NA,NA,NA
"5990341000033117","prednisone 5mg modified-release tablets",NA,NA,NA
"8494441000033110","dilacort 2.5mg gastro-resistant tablets (crescent pharma ltd)",NA,NA,NA
"8494541000033111","dilacort 5mg gastro-resistant tablets (crescent pharma ltd)",NA,NA,NA
"9119141000033118","prednisolone 15mg/5ml oral solution",NA,NA,NA
"10212141000033112","prednisolone 10mg tablets",NA,NA,NA
"10212341000033114","prednisolone 20mg tablets",NA,NA,NA
"10212441000033116","pevanti 2.5mg tablets (advanz pharma)",NA,NA,NA
"10212541000033120","pevanti 5mg tablets (advanz pharma)",NA,NA,NA
"10212641000033118","pevanti 10mg tablets (advanz pharma)",NA,NA,NA
"10212741000033110","pevanti 20mg tablets (advanz pharma)",NA,NA,NA
"10212941000033112","pevanti 25mg tablets (advanz pharma)",NA,NA,NA
"10266841000033116","prednisolone 5mg/5ml oral solution unit dose",NA,NA,NA
"10494341000033116","prednisolone 10mg/ml oral solution sugar free",NA,NA,NA
"11507841000033116","prednisolone 1mg gastro-resistant tablets",NA,NA,NA
"11664841000033116","prednisolone 30mg tablets",NA,NA,NA
