icd,term,out_cat,cat_resp,certlevel,source,include
J12,"viral pneumonia, not elsewhere classified",dx_inc,,0,icd_original,yes
J12.0,adenoviral pneumonia,dx_inc,,0,icd_original,yes
J12.1,respiratory syncytial virus pneumonia,dx_inc,,0,icd_original,yes
J12.2,parainfluenza virus pneumonia,dx_inc,,0,icd_original,yes
J12.3,human metapneumovirus pneumonia,dx_inc,,0,icd_original,yes
J12.8,other viral pneumonia,dx_inc,,0,icd_original,yes
J12.9,"viral pneumonia, unspecified",dx_inc,,0,icd_original,yes
J13,pneumonia due to streptococcus pneumoniae,dx_inc,,0,icd_original,yes
J14,pneumonia due to haemophilus influenzae,dx_inc,,0,icd_original,yes
J15,"bacterial pneumonia, not elsewhere classified",dx_inc,,0,icd_original,yes
J15.0,pneumonia due to klebsiella pneumoniae,dx_inc,,0,icd_original,yes
J15.1,pneumonia due to pseudomonas,dx_inc,,0,icd_original,yes
J15.2,pneumonia due to staphylococcus,dx_inc,,0,icd_original,yes
J15.3,"pneumonia due to streptococcus, group b",dx_inc,,0,icd_original,yes
J15.4,pneumonia due to other streptococci,dx_inc,,0,icd_original,yes
J15.5,pneumonia due to escherichia coli,dx_inc,,0,icd_original,yes
J15.6,pneumonia due to other gram-negative bacteria,dx_inc,,0,icd_original,yes
J15.7,pneumonia due to mycoplasma pneumoniae,dx_inc,,0,icd_original,yes
J15.8,other bacterial pneumonia,dx_inc,,0,icd_original,yes
J15.9,"bacterial pneumonia, unspecified",dx_inc,,0,icd_original,yes
J16,"pneumonia due to other infectious organisms, not elsewhere classified",dx_inc,,0,icd_original,yes
J16.0,chlamydial pneumonia,dx_inc,,0,icd_original,yes
J16.8,pneumonia due to other specified infectious organisms,dx_inc,,0,icd_original,yes
J17,pneumonia in diseases classified elsewhere,dx_inc,,0,icd_original,yes
J17.0,pneumonia in bacterial diseases classified elsewhere,dx_inc,,0,icd_original,yes
J17.1,pneumonia in viral diseases classified elsewhere,dx_inc,,0,icd_original,yes
J17.2,pneumonia in mycoses,dx_inc,,0,icd_original,yes
J17.3,pneumonia in parasitic diseases,dx_inc,,0,icd_original,yes
J17.8,pneumonia in other diseases classified elsewhere,dx_inc,,0,icd_original,yes
J18,"pneumonia, organism unspecified",dx_inc,,0,icd_original,yes
J18.0,"bronchopneumonia, unspecified",dx_inc,,0,icd_original,yes
J18.1,"lobar pneumonia, unspecified",dx_inc,,0,icd_original,yes
J18.2,"hypostatic pneumonia, unspecified",dx_inc,,0,icd_original,yes
J18.8,"other pneumonia, organism unspecified",dx_inc,,0,icd_original,yes
J18.9,"pneumonia, unspecified",dx_inc,,0,icd_original,yes
4800,Pneumonia due to adenovirus,dx_inc,,0,icd9_1,yes
4801,Pneumonia due to respiratory syncytial virus,dx_inc,,0,icd9_1,yes
4802,Pneumonia due to parainfluenza virus,dx_inc,,0,icd9_1,yes
4808,"Pneumonia due to other virus, not elsewhere classified",dx_inc,,0,icd9_1,yes
4809,"Viral pneumonia, unspecified",dx_inc,,0,icd9_1,yes
481,"Viral pneumonia, unspecified",dx_inc,,0,icd9_1,yes
4822,Pneumonia due to Hemophilus influenzae (H. influenzae),dx_inc,,0,icd9_1,yes
4820,Pneumonia due to Klebsiella pneumoniae,dx_inc,,0,icd9_1,yes
4821,Pneumonia due to Pseudomona,dx_inc,,0,icd9_1,yes
4824,Pneumonia due to Staphylococcus,dx_inc,,0,icd9_1,yes
4823,Pneumonia due to Streptococcus,dx_inc,,0,icd9_1,yes
4828,Pneumonia due to other specified bacteria,dx_inc,,0,icd9_1,yes
483,Pneumonia due to other specified organism,dx_inc,,0,icd9_1,yes
4829,"Bacterial pneumonia, unspecified",dx_inc,,0,icd9_1,yes
4843A,,dx_inc,,1,icd9_1,no
4840A,,dx_inc,,1,icd9_1,no
4846A,,dx_inc,,1,icd9_1,no
4848A,,dx_inc,,1,icd9_1,no
4842A,,dx_inc,,1,icd9_1,no
4661,Acute bronchiolitis ,dx_inc,,1,icd9_1,no
486,"Pneumonia, organism unspecified",dx_inc,,0,icd9_1,yes
4845A,,dx_inc,,1,icd9_3,no
4848A,,dx_inc,,1,icd9_3,no
5171A,,dx_inc,,1,icd9_3,no
4848A,,dx_inc,,1,icd9_4,no
