icd,term,out_cat,cat_resp,certlevel
J00,acute nasopharyngitis [common cold],dx_inc,nasopharyngitis,
J01,acute sinusitis,dx_inc,sinusitis,
J01.0,acute maxillary sinusitis,dx_inc,sinusitis,
J01.1,acute frontal sinusitis,dx_inc,sinusitis,
J01.2,acute ethmoidal sinusitis,dx_inc,sinusitis,
J01.3,acute sphenoidal sinusitis,dx_inc,sinusitis,
J01.4,acute pansinusitis,dx_inc,sinusitis,
J01.8,other acute sinusitis,dx_inc,sinusitis,
J01.9,"acute sinusitis, unspecified",dx_inc,sinusitis,
J02,acute pharyngitis,dx_inc,pharyngitis,
J02.0,streptococcal pharyngitis,dx_inc,pharyngitis,
J02.8,acute pharyngitis due to other specified organisms,dx_inc,pharyngitis,
J02.9,"acute pharyngitis, unspecified",dx_inc,pharyngitis,
J03,acute tonsillitis,dx_inc,tonsilitis,
J03.0,streptococcal tonsillitis,dx_inc,tonsilitis,
J03.8,acute tonsillitis due to other specified organisms,dx_inc,tonsilitis,
J03.9,"acute tonsillitis, unspecified",dx_inc,tonsilitis,
J04,acute laryngitis and tracheitis,dx_inc,laryngotracheitis,
J04.0,acute laryngitis,dx_inc,laryngitis,
J04.1,acute tracheitis,dx_inc,tracheitis,
J04.2,acute laryngotracheitis,dx_inc,laryngotracheitis,
J05,acute obstructive laryngitis [croup] and epiglottitis,dx_inc,laryngitis,
J05.0,acute obstructive laryngitis [croup],dx_inc,laryngitis,
J06,acute upper respiratory infections of multiple and unspecified sites,dx_inc,nasopharyngitis,
J06.0,acute laryngopharyngitis,dx_inc,pharyngitis,
J06.8,other acute upper respiratory infections of multiple sites,dx_inc,nasopharyngitis,
J06.9,"acute upper respiratory infection, unspecified",dx_inc,nasopharyngitis,
J20,acute bronchitis,dx_inc,acute bronchitis,
J20.0,acute bronchitis due to mycoplasma pneumoniae,dx_inc,acute bronchitis,
J20.1,acute bronchitis due to haemophilus influenzae,dx_inc,acute bronchitis,
J20.2,acute bronchitis due to streptococcus,dx_inc,acute bronchitis,
J20.3,acute bronchitis due to coxsackievirus,dx_inc,acute bronchitis,
J20.4,acute bronchitis due to parainfluenza virus,dx_inc,acute bronchitis,
J20.5,acute bronchitis due to respiratory syncytial virus,dx_inc,acute bronchitis,
J20.6,acute bronchitis due to rhinovirus,dx_inc,acute bronchitis,
J20.7,acute bronchitis due to echovirus,dx_inc,acute bronchitis,
J20.8,acute bronchitis due to other specified organisms,dx_inc,acute bronchitis,
J20.9,"acute bronchitis, unspecified",dx_inc,acute bronchitis,
J30,vasomotor and allergic rhinitis,dx_inc,rhinitis,
J30.0,vasomotor rhinitis,dx_inc,rhinitis,
J30.1,allergic rhinitis due to pollen,dx_inc,rhinitis,
J30.2,other seasonal allergic rhinitis,dx_inc,rhinitis,
J30.3,other allergic rhinitis,dx_inc,rhinitis,
J30.4,"allergic rhinitis, unspecified",dx_inc,rhinitis,
J31,"chronic rhinitis, nasopharyngitis and pharyngitis",dx_inc,rhinitis,
J31.0,chronic rhinitis,dx_inc,nasopharyngitis,
J31.1,chronic nasopharyngitis,dx_inc,pharyngitis,
J31.2,chronic pharyngitis,dx_inc,sinusitis,
J32,chronic sinusitis,dx_inc,sinusitis,
J32.0,chronic maxillary sinusitis,dx_inc,sinusitis,
J32.1,chronic frontal sinusitis,dx_inc,sinusitis,
J32.2,chronic ethmoidal sinusitis,dx_inc,sinusitis,
J32.3,chronic sphenoidal sinusitis,dx_inc,sinusitis,
J32.4,chronic pansinusitis,dx_inc,sinusitis,
J32.8,other chronic sinusitis,dx_inc,sinusitis,
J32.9,"chronic sinusitis, unspecified",dx_inc,sinusitis,
J35,chronic diseases of tonsils and adenoids,dx_inc,tonsilitis,
J36,peritonsillar abscess,dx_inc,tonsilitis,
J37,chronic laryngitis and laryngotracheitis,dx_inc,laryngotracheitis,
J37.0,chronic laryngitis,dx_inc,laryngitis,
J37.1,chronic laryngotracheitis,dx_inc,laryngotracheitis,
